User,Tweet
@MrSinha_,"This election taught me that ""Bihar bus naam se badnaam hai"", caste politics is the same across India.... South-North-West-East, it's everywhere. Tell me any single state where candidates aren't decided after calculating caste mathematics..."
@zoo_bear,2019 to 2024
@CricCrazyJohns,World Cup & WTC winning Captain Pat Cummins giving drinks to the players during the Oman match.
@INCIndia,LIVE: Press briefing by INDIA leaders at Congress President Shri @Kharge ’s residence in New Delhi.
@aramco,We make further progress in our global retail expansion by completing the acquisition of a 40% equity stake in Gas & Oil Pakistan Ltd. (“GO”) Learn more https://bit.ly/4e30X4H?twclid=2-2e4zfnyipt38lw1zkwi7esx7o #aramco
@narendramodi,"Thank you, Prime Minister @KumarJugnauth , for your call and heartfelt wishes. I look forward to continued collaboration between our two countries to further strengthen the special India-Mauritius relationship in my third term."
@srinivasiyc,"नतीजे आये 24 घण्टे भी नही हुए, और Godi Media में गृह-युद्ध शुरू हो चुका है क्या ये बात सच है"
@thebharatarmy,Pant's usual way of playing a shot. #RishabhPant #INDvIRE #IREvsIND #TeamIndia #BharatArmy
@zoo_bear,Dhirendra Raghav pretending to be a Muslim by wearing a Skull cap and abusing Hindus. This video is viral on Social media with a communal claim to incite Hindus against Muslims. For attention : @Uppolice @dgpup @agrapolice @igrangeagra @adgzoneagra
@erbmjha,Aam Aadmi Party Leaders in Loksabha: 3 Aam Party Leaders in Tihar: 4
@kharge,"इंडिया गठबंधन को मिले भारी जनसमर्थन के लिए हम भारत के मतदाताओं को तहे दिल से धन्यवाद देते हैं। इस जनादेश ने भाजपा और उसकी नफरत की राजनीति, भ्रष्टाचार और लोगों को हक हकूक से वंचित करने की राजनीति को बहुत करारा जवाब दिया है। यह प्रधानमंत्री श्री नरेंद्र मोदी की राजनीतिक और नैतिक…"
@adheeraeditz,Its Official Hitting Big Screen #KALKI2898AD - IMAX - 2D & 3D Expecting Great Quality #Prabhas
@KanishkaDadhich,China and I.N.D.I alliance read the same statements against Narendra Damodardas Modi. China has joined I.N.D.I alliance?
@CricCrazyJohns,Pant re-created the shot against Anderson.
@narendramodi,"Thank you for your call and warm wishes, President @RW_UNP . Sri Lanka is an important partner in our Neighbourhood First policy. India is proud to be a dependable partner for Sri Lanka. I look forward to realising our joint vision of enhancing connectivity in all its dimensions."
@Bybit_Official,The Bitcoin rewards have been halved! It's a major milestone for Bitcoin and the crypto world. Curious about how this could affect the Bitcoin price? Click on the banner to know what this means for you & Crypto! #Bitcoin #Crypto #Halving
@srinivasiyc,INDIA गठबंधन की अहम बैठक के बाद सभी दलों का एक साझा बयान!
@MrSinha_,"Adhir Ranjan Chowdhury is a Congress leader, always against Modi & Hindutva. He was MP from MusIim dominated Behrampur for 25 years, used to get Musim votes. First time TMC fielded a Muslim candidate Yusuf Pathan from Gujarat against him & Muslims voted for Yusuf even though he…"
@WolfRMFC,Tchouameni’s reaction to winning his first UCL is so wholesome
@UnSubtleDesi,SEBI hurriedly appoints the wife of the Gandhi family’s close aide as a key panel chief after the 2024 Lok Sabha election results
@epanchjanya,"वोट की कीमत इस कहानी से समझिए ! सियालकोट हिन्दू बहुल इलाका था! फिर भी ये तय हुआ कि इसे भारत में रखना है या पाकिस्तान में इसका फैसला जनमत संग्रह से होगा। जब मतदान शुरू हुआ तो मुसलमान सबसे पहले लाइन में लगकर वोट डालकर आए। हिन्दू समाज वोट देने ही नहीं पहुंचा, 1 लाख हिंदुओ ने वोट…"
@IndianFootball,"𝐓𝐡𝐞 𝐋𝐚𝐬𝐭 𝐃𝐚𝐧𝐜𝐞! Our new profile picture. Let’s join in to celebrate our Captain, Leader, Legend. #ThankYouSC11 #FIFAWorldCup #BlueTigers #IndianFootball"
@oocmma,Day 3. - Still no word from Dana White about UFC 303 - UFC is reportedly looking for a replacement fight/fighter - Conor McGregor’s PR team have hidden his phone from him - Michael Chandler is posting like he’s going through a breakup
@CricCrazyJohns,"Ishan Kishan wishing India ""All the best"" for the T20I World Cup"
@narendramodi,"I thank Prime Minister Sheikh Hasina for her warm wishes. India and Bangladesh share historic relations, which have seen unprecedented growth in the last decade. I look forward to working together to further strengthen our people-centric partnership. @BDMOFA"
@TecnoMobileInd,From monochrome memories to a world of vibrant stories. Photography is about to witness new standards with the #CAMON30Series5G featuring @deepikapadukone . Notify me - http://knw.one/camon30?twclid=2-34ravujuh87i3mutnkexfy0c2 #TECNOmobiles #CAMON30Series
@TheGalox_,"Snapdragon 8 Gen 5, made by Samsung & TSMC Qualcomm CEO confirmed they are considering a dual source production strategy"
@VasundharaBJP,पाँचवीं बार सांसद बन कर घर आने पर बेटे दुष्यंत सिंह को वात्सल्य और बधाई! #BJP4India #BJP4Rajasthan
@GabbbarSingh,Journalists should go back to UP streets and find out the mood now. Should be really interesting :)
@kollycorner,#Kalki2898AD Team Has Confirmed IMAX - 2D & 3D Release Box-office monster #Prabhas is on the way
@IrfanPathan,Brilliant from Indian bowlers. Good start for their confidence as a bowling group.
@ajitanjum,अमेठी में वोटिंग के दिन स्मृति ईरानी ने दिल्ली से गए कुछ पत्रकारों से निजी बातचीत में कहा कि अजीत अंजुम को यहां कांग्रेस में मेरे खिलाफ काम करने के लिए बैठा रखा है . उन्हीं में से एक रिपोर्टर ने मुझे ये जानकारी दी . मैंने अपने आखिरी वीडियो में स्मृति को जवाब दिया था . पहली बार…
@CricCrazyJohns,"DD SPORTS ANTHEM FOR TEAM INDIA IN THE WORLD CUP. - All the best, Rohit & his boys."
@mufaddal_vohra,Captain Rohit Sharma and Virat Kohli during the national anthem.
@TecnoMobileInd,"Don't just THINK DIFFERENT, THINK SLIMMER — and ONE MORE THING... #CAMON30Series features 42% slimmer side bezels Shop now — http://knw.one/camon30?twclid=23xi6npglg8h1w8hnsrfmu2jq6 #TECNOMobiles"
@TukTuk_Academy,Day-3 of asking should we declare this New York stadium as our overseas homeground or wait for some more matches?
@AamAadmiParty,सही समय पर सही निर्णय लिया जाएगा देश की जनता ने यह जनादेश नरेंद्र मोदी सरकार के खिलाफ दिया है। उनकी तानाशाही के खिलाफ दिया है। इनके खिलाफ हमारी लड़ाई जारी रहेगी। इस सरकार को रोकने के लिए सही समय पर सही निर्णय लिया जाएगा। @SanjayAzadSln
@RajBabbar23,"भले ही परिणाम हमारे पक्ष में नहीं रहा, लेकिन गुरुग्राम द्वारा मिले 7 लाख 33 हजार वोट मेरे लिए एक बड़ी उपलब्धि है। ये केवल वोट नहीं हैं, बल्कि 7 लाख 33 हजार परिवारों का विश्वास और प्रेम हैं। आपने जो विश्वास मुझ पर जताया है, उसे मैं पूरी निष्ठा से निभाऊंगा। मैं आप सभी का दिल से…"
@IrfanPathan,Jasprit Bumrah stating the World Cup with Man of the match award. we missed him so much in the last World Cup.
@academy_dinda,Virat Kohli saving all his runs for Haris Rauf and Shadab Khan
@TrulyMonica,"Artificial Intelligence played a sinister role in yesterday’s result. Doctored videos of BJP leaders were circulated saying “reservation will end”. On ground, Rahul Gandhi was saying “Baba Saheb ka Samvidhan khatre mein hai” Fake news & propaganda got them 99 seats"
@MeghUpdates,"If my father was Karunanidhi I also would have won elections by now. My father’s name is Kuppuswamy, so it will take some time for me to win elections. We will form a Government in Tamil Nadu in 2026. - BJP's Annamalai"
@CricCrazyJohns,Virat Kohli giving Pep talk ahead of the Ireland match.
@mufaddal_vohra,Jasprit Bumrah with the Player Of The Match award.
@afzal_57,THE BUSY MAN'S WAY TO TRADE is to swing trade stocks and nothing else! Trading shouldn't be done watching stock prices all-day long. http://afzall.com/?twclid=2wkaq9suq3ie5go956g76dr6c shows you how to trade with limited time and low stress. Learn trading from a VERIFIED CHAMPION. Join his telegram:
@FarziCricketer,Rishabh Pant with his reverse lap shot for a six just confirmed it is indeed a Test match.
@erbmjha,7 Independents & 3 MPs from small parties have declared their support to PM Modi. They expressed their desire for PM @narendramodi to lead India with mega reforms & a stable govt. NDA now stands at 303
@AnkhAlpha,"Is Web3 Gaming the Catalyst for the Bull Run? Tune in to join the discussion tomorrow. June 6th, 3:30PM UTC Set your reminders https://x.com/i/spaces/1djGXNPZjmLxZ…"
@LoyalSachinFan,"If there are few who even watch some cricket in the USA, they will stop watching cricket after this T20 World Cup."
@AshwiniVaishnaw,आदरणीय प्रधानमंत्री श्री @narendramodi जी को सर्वसम्मति से NDA द्वारा संसदीय दल का नेता चुने जाने पर हार्दिक बधाई। पिछले दस वर्षों में देश ने प्रधानमंत्री मोदी जी के नेतृत्व में हर क्षेत्र में प्रगति देखी है। भारत के सर्वांगीण विकास हेतु NDA प्रतिबद्ध है।
@AamAadmiParty,"मल्लिकार्जुन खड़गे जी के आवास पर INDIA Alliance की बैठक बुलाई गई है। इसमें लोकसभा चुनाव के नतीजों पर विस्तृत चर्चा होगी और गठबंधन आगे कैसे बढ़ेगा, हमारी अगली रणनीति क्या होगी, इस पर भी चर्चा होगी। @raghav_chadha"
@MadridXtra,Vinicius Jr.
@CricCrazyJohns,Virat Kohli & Yuvraj Singh Reunion...!!! - Two rulers of ICC tournaments for India
@mufaddal_vohra,VIRAT KOHLI at the New York Stadium with Indian flag in the background. - What a frame!
@FarziCricketer,"Seeing the pitches in the USA, no wonder they only allow bowling full tosses in baseball."
@epanchjanya,बड़ी खबर ! सभी BJP मुख्यमंत्रियों को दिल्ली बुलाया गया। BJP के सभी 240 सांसदों को दिल्ली बुलाया गया। 7 जून को सभी मुख्यमंत्री और वरिष्ठ नेताओं की बैठक। दिल्ली में भाजपा मुख्यालय में होगी पार्टी की बैठक।
@ImTanujSingh,Look at Barry McCarthy’s reactions when Rishabh Pant hits reverse sweep for a SIX against him.
@MrSinha_,"-In 2004, Congress won 145 & formed govt -In 2009, Congress won 206 & formed govt So @Jairam_Ramesh wants to say that Sonia Gandhi isn't a decent woman & lacks morality?"
@bitgetglobal,"Unleash the power of decentralization with @BitgetWallet , the trusted non-custodial #Web3 wallet. Trusted by 20 million users across 168 countries Supports over 100 blockchains, integrating hundreds of DEXs for optimal trading prices Access full ecosystem at your…"
@abhijeet_dipke,"“Remote Controlled PM” Modi came to power by denouncing Manmohan Singh as a 'remote controlled PM'; ten years later, he meets the same fate. You become what you hate :)"
@POTUS,"Congratulations to Prime Minister Narendra Modi and the National Democratic Alliance on their victory, and the nearly 650 million voters in this historic election. The friendship between our nations is only growing as we unlock a shared future of unlimited potential."
@CricCrazyJohns,Most wins as an Indian Captain in T20I: [Men's] Rohit Sharma - 42 wins* (55 matches) MS Dhoni - 41 wins (72 matches)
@mufaddal_vohra,Virat Kohli dismissed for 1 in 5 balls.
@aramco,Follow our page to get the latest updates from one of the world's largest integrated energy and chemicals companies #aramco
@FarziCricketer,Rishabh Pant just went one step ahead in trolling the pitch.
@JanaSenaParty,"ఆంధ్ర ప్రదేశ్ ఎన్నికల్లో భారీ విజయం సాధించిన 21/21 జనసేన ఎమ్మెల్యే అభ్యర్థులకు, 2/2 MP అభ్యర్థులకు అభినందనలు. #KutamiTsunami #JSPFutureofAP"
@ANI,Russian President Vladimir Putin congratulates PM Modi on Lok Sabha Elections 2024 victory.
@WelBeast,Let's not forget that Chelsea are also under investigation by the premier league. Manchester City borrowed the cheating script from them.
@IMinakshiJoshi,"""जीते हम उछल वो रहे हैं"""
@Cric_beat,Fewest balls to reach 4000 Runs in T20Is 2860 - Rohit Sharma* 2900 - Virat Kohli 3079 - Babar Azam #T20Worldcup
@ArfaSays_,Rohit Sharma saved his batting line up by choosing to bowl first on grassy bouncy pitch of NewYork. India should have shown courage to bat first but perhaps lack of confidence forced Rohit to play safe even against Ireland. #T20WorldCup
@CricCrazyJohns,Rohit Sharma meets Ricky Ponting - Two Greats of cricket history.
@mufaddal_vohra,RCB poster for team India. - The journey begins tonight.
@afzal_57,"JANE STREET & HFT Funds have destroyed all option traders. But in stocks, no fund can trick you and steal money in seconds. You hold a stock for a few days with less stress and risk every time. http://afzall.com/?twclid=2ba14bjaiknro0wczyctonxvg Learn from a VERIFIED CHAMPION. Join telegram:"
@BCCI,New York is 𝗥𝗘𝗔𝗗𝗬! ARE YOU #T20WorldCup | #TeamIndia | #INDvIRE
@HemantSorenJMM,"लोकसभा चुनाव परिणाम के पश्चात आज दिल्ली में INDIA गठबंधन की बैठक में शामिल हुई। गरीब, वंचित और शोषित तथा आदिवासी, दलित, पिछड़ा एवं अल्पसंख्यक वर्ग के लोगों की आवाज है INDIA और यह आवाज पुरजोर तरीके से सदन में गूंजती रहेगी। समस्त जनता को इस ऐतिहासिक साथ और आशीर्वाद के लिए हार्दिक…"
@iam_arjundas,Congratulations @PawanKalyan Garu
@BrokenCricket,Least balls taken to reach 4000 T20I runs 2860 - Rohit Sharma* 2900 - Virat Kohli 3081 - Babar Azam #INDvsIRE
@PunjabKingsIPL,"Aata hain har mushkil ka anth, tab khade nahi, udte hai Pant! #RishabhPant #INDvIRE #T20WorldCup"
@sardesairajdeep,World T 20 gyaan: it’s all very well to take international cricket to the US but at least prefer half decent pitches. The India vs Ireland game was played on a sub standard pitch in New York. Will anyone in the com box call this out? #IndVsIreland
@CricCrazyJohns,ROHIT SHARMA IS THE FASTEST TO COMPLETE 4000 RUNS IN T20I. [in terms of balls]
@mufaddal_vohra,Sanju Samson and Yashasvi Jaiswal are not playing today.
@afzal_57,LOW-STRESS TRADING (professionals/ businessmen with 10L+ capital) Trade along with a job/business In around 15-min before 3:30 Only stocks No intraday/ options Learn to trade stocks the champion's way and grow your capital with http://afzall.com/?twclid=2mm7a8onmnp3gs0ddg8on461l Click below:
@epanchjanya,"कांग्रेस देश पर कलंक की तरह है। PM मोदी को हम सबको मजबूती देनी है। PM मोदी के नेतृत्व में हम सबको मिलकर लड़ना है। सर्वसम्मति से PM मोदी NDA के नेता चुने गए। : पवन कल्याण, अध्यक्ष, जन सेना पार्टी"
@StarSportsIndia,Rohit Sharma Pull shot = #INDvIRE | LIVE NOW | #T20WorldCupOnStar
@ajeetbharti,"पिछवाड़ा जल कर कोयला हो चुका हो, पर जलन बढ़ाए जा रहे हैं कि कहीं हीरे चमकने लगे। पर विज्ञान कहता है कि कोयले से हीरे नहीं बनते, चाहे उसे किसी पंचरपुत्र की जलती %# में ही क्यों न दवाब के साथ रख दिया जाए।"
@GabbbarSingh,Great summary by @ShivAroor
@rolandgarros,MIRRA JOINED OUR DANCE CHALLENGE #RolandGarros
@Rivaba4BJP,Congratulations to India on a stellar start to the T20 World Cup with an 8-wicket victory over Ireland! A fantastic performance with 46 balls to spare. Well played Bharat ! #ICCT20WorldCup @BCCI @imjadeja
@CricCrazyJohns,"Difficult pitch, Captain stands tall and he smashed fifty from 36 balls. TAKE A BOW, ROHIT."
@mufaddal_vohra,Yuvraj Singh with the T20 World Cup trophy.
@afzal_57,THE LAZY MAN'S WAY TO TRADE is to swing trade stocks and nothing else! Trading shouldn't be done watching stock prices all-day long. http://afzall.com/?twclid=2-4k6rqxor9kqzjaty082r8eh0v shows you how to trade with limited time and low stress. Learn trading from a VERIFIED CHAMPION. Join his telegram:
@ANI,"President Droupadi Murmu hosted a dinner for the outgoing Union Council of Ministers, led by Prime Minister Narendra Modi, at Rashtrapati Bhavan."
@RShivshankar,"Many have been talking up the Congress party's spectacular comeback. The narrative is that the Congress is back as the only ""pan-India alternative"" to the BJP. Here is data that suggests that despite a 90% (52 to 99) surge in seats in at least 16 states/UTs, the Congress…"
@ChampRDS,Mateusz Gamrot was not a fan of Arman Tsarukyan's comments about Dustin Poirier's performance at #UFC302 #UFC #MMA
@Pun_Starr,Changes observed after the results: - 'Modi sarkar' changed to 'NDA sarkar' - Modi said 'Jai Jagannath' instead of 'Jai Shri Ram' at the BJP meet - Jaishankar wrote 'Vishwabandhu' instead of 'Vishwaguru' in his tweet - Modi didn't change his dress the entire day today.
@Starboy2079,"This is a clear cut case of election fraud, EC must look into it Congress gave a receipt to women and asked to vote Congress and in return promised them to give Rs 1 lac after elections Now after elections, women are asking for Rs 1 lac n Congress not giving them @RahulGandhi"
@ValaAfshar,Life skills that children learn at some kindergartens in China
@CricCrazyJohns,"Rohit Sharma said ""It's just a Little sore"". - Captain is absolutely fine."
@mufaddal_vohra,"Ravi Shastri said, ""India picked 4 spinners too many in the squad, but if today's selectors had a chance after seeing this pitch to pick the team they would add an extra fast bowler in that unit""."
@ANI,NDA leaders unanimously elect Narendra Modi as their leader in the proposal passed by the leaders of the NDA in Delhi.
@AshwiniUpadhyay,"""हम बारह"" शानदार फिल्म है इसे टैक्स फ्री करना चाहिए । @actormanojjoshi"
@RajatSharmaLive,"जब क्रिकेट स्टार ऋषभ पंत की गाड़ी क्रैश हुई. जब कार का कचूमर बन गया. जब गाड़ी में आग लग गई. कार काफी दूर तक घिसटती रही. ऋषभ पंत मौत के मुंह से कैसे बचे? काली सुबह की पूरी कहानी, पहली बार ‘आप की अदालत’ में. #AapKiAdalat with cricketer Rishabh Pant Saturday night at 10 pm on India…"
@smritiirani,Congratulations to PM @NarendraModi Ji for being unanimously elected as the leader of the National Democratic Alliance (NDA). Your exemplary leadership and far-sighted vision for our nation will guide the collective efforts of 140 crore Indians towards building a Viksit Bharat…
@KKRiders,A fantastic bowling performance that left us in awe!
@RoshanKrRaii,"BIG BREAKING : Civil War erupts amongst Godi Media after BJP loses majority Waited for this for a decade, This is the start of BJP and Godi Media's end. Share this video everywhere."
@CricCrazyJohns,- Completed 4000 runs in T20I. - Completed 1000 runs in T20I WC. - Completed 600 sixes in Intl cricket. - Fastest to complete 4000 runs in terms of balls in T20I. - First Indian to smash 100 sixes in ICC limited over tournaments. CAPTAIN ROHIT SHARMA FOR YOU.
@mufaddal_vohra,A thumbs up from captain Rohit Sharma. - He's absolutely fine!
@ANI,#WATCH | Former Madhya Pradesh CM and BJP leader Shivraj Singh Chouhan offers prayers at Hanuman Temple in Vidisha.
@arvindgunasekar,"Joint Statement by United Opposition, INDIA: “The India bloc will continue to fight against the fascist rule of the BJP led by Modi. We will take appropriate steps at the appropriate time to realise the people’s desire not to be ruled by the BJP’s government”."
@MHafeez22,Cricket ICON for a reason @imVkohli #GameOnHai
@JayShah,𝐁𝐑𝐈𝐋𝐋𝐈𝐀𝐍𝐓 𝐒𝐓𝐀𝐑𝐓 Congratulations to Team India for their spectacular win against Ireland in the first 2024 #T20WorldCup match! An impeccable effort by the bowling unit! Special mention to @hardikpandya7 for his fantastic 3-wicket haul and to skipper @ImRo45 for…
@polimernews,எதிர்க்கட்சி வரிசையில் அமர இண்டியா கூட்டணி முடிவு.. #polimernews | #DMK | #CMMKStalin | #INDIAAlliance | #RahulGandhi | #PolimerNews | #MallikarjunKharge |
@MinPres,": भारत के प्रधान मंत्री @narendramodi से उनकी चुनावी जीत पर बधाई देने के निमित्त अभी बात की। हमने सुरक्षा, जल, हरित ऊर्जा, अर्धचालक और स्वास्थ्य सेवा जैसे क्षेत्रों में अपने दोनों देशों के बीच अच्छे सहयोग को मजबूत करने के बारे में भी चर्चा की।"
@sundarpichai,"AI can play a role in solving infrastructure challenges, from maintaining roads to improving agriculture. Our new @GoogleStartups AI Academy: American Infrastructure will help entrepreneurs increase their impact with #GoogleAI tools, training + resources."
@CricCrazyJohns,Jasprit Bumrah won the Player of the match award in the first match for India.
@mufaddal_vohra,Rohit Sharma has retired hurt!! Hopefully captain Rohit is all well.
@ANI,"#WATCH | Raghunandan Rao, the newly elected MP from the Medak parliamentary constituency in Telangana says, ""The Medak parliamentary seat from where so many big leaders including Indira Gandhi and KCR had got elected, today after a gap of 25 years, BJP has won from the…"
@ICC,An all-round display from India in New York earns them two valuable #T20WorldCup 2024 points #INDvIRE | : https://bit.ly/3Vub7nS
@City_Xtra,Sergio Aguero x 2024/25 #ManCity kit. @TST7v7
@monprotocol,Introducing MON Protocol Partner - Avarik Saga Avarik Saga ( @avariksaga ) is leading the charge in transforming anime mobile gaming by building an anime gaming ecosystem like no other. They are combining blockchain technology and AI through Large Language Models (LLMs) to set a…
@centregoals,| BREAKING: James Maddison has 𝐍𝐎𝐓 been included in the final England squad for the EURO 2024 tournament. [ @David_Ornstein ]
@Go_Jover,Chap begins with Sukuna & Yutaro opening the domains & Yuta successfully manages to reduce the size of Unlimited Void's barrier to the size of tiny basketball like Gojo did #JJK262 #JJKSpoilers https://pic.x.com/4yitfache8
@mufaddal_vohra,HISTORY CREATED BY THE HITMAN IN NEW YORK...!!! ROHIT SHARMA HAS MOST WINS AS AN INDIAN CAPTAIN IN T20I HISTORY - 42*.
@ANI,"#WATCH | Leaders of the INDIA alliance including Rahul Gandhi, Tejashwi Yadav, Raghav Chadha, Sharad Pawar, D Raja, Sanjay Raut, Akhilesh Yadav, Champai Soren, Supriya Sule and others after their meeting at the residence of Congress president Mallikarjun Kharge in Delhi."
@ICC,It's toss time in New York! India win the toss and opt to bowl first against Ireland. #T20WorldCup | #INDvIRE | : https://bit.ly/3xejiv7
@FabrizioRomano,"Pepe could really leave Porto as free agent, it’s concrete possibility after Sérgio Conceição’s exit. There are still some formal steps to clarify and some details before final decision."
@BCCI,Huddle Time to hit the ground running! Follow The Match http://bit.ly/INDvIRE-T20WC-24… #T20WorldCup | #TeamIndia | #INDvIRE ICC
@lexfridman,"Here's my conversation with Kevin Spacey ( @KevinSpacey ), a two-time Oscar winning actor, who has created powerful haunting performances of characters who often embody the dark side of human nature. As I've said before, I will talk to everyone, with empathy and with backbone. I…"
@Teslaconomics,"This why Ron Baron thinks it’s unfair for Elon to NOT get his 2018 compensation package. 1/ majority approved (that’s the will of the company & shareholders), it’s a legally binding contract 2/ the person that sued Tesla/Elon had 9 shares, took him 5 years to bring to court,…"
@tsarnick,Twitter founder Jack Dorsey says we are being programed by black box algorithms and they are impacting our free will and the agency we have
@CricCrazyJohns,"Rohit Sharma retired hurt...!!!! 52 runs from just 37 balls on a difficult pitch, What a start for the Captain, lead India by example"
@arnill_dev,"Give Away Alert!! 1. Artificial Intelligence 2. Machine Learning 3. Cloud Computing 4. Ethical Hacking 5. Data Analytics 6. AWS Certified 7. Data Science 8. BIG DATA 9. Python 10 MBA For 24 Hours only! To get it: 1. Like & retweet 2. Reply ""Send"" 3. Follow me (so I can DM you)"
@CricCrazyJohns,Jasprit Bumrah starts with a maiden in the T20I World Cup
@mufaddal_vohra,FIFTY BY CAPTAIN ROHIT SHARMA!!! - The Hitman smashed a fifty in the opening match of T20 World Cup for India. The GOAT six hitter!
@BCCI,It's raining wickets! #TeamIndia are on an absolute roll here Ireland down. Follow The Match http://bit.ly/INDvIRE-T20WC-24… #T20WorldCup | #INDvIRE
@BCCI,Brilliant Bumrah bags the Player of the Match award! A clinical -wicket victory for #TeamIndia in New York Scorecard http://bit.ly/INDvIRE-T20WC-24… #T20WorldCup | #INDvIRE | @Jaspritbumrah93
@BCCI,Toss Update from New York Captain @ImRo45 has won the toss & #TeamIndia have elected to bowl against Ireland. Follow The Match http://bit.ly/INDvIRE-T20WC-24… #T20WorldCup | #INDvIRE
@BCCI,Innings Break! Cracking bowling display from #TeamIndia! wickets for vice-captain @hardikpandya7 wickets each for @Jaspritbumrah93 & @arshdeepsinghh wicket each for @akshar2026 & @mdsirajofficial Stay Tuned for the India chase!
